24 cycles	 0.000024 seconds
3 cycles	 0.000003 seconds
3 cycles	 0.000004 seconds
4 cycles	 0.000004 seconds
3 cycles	 0.000003 seconds
3 cycles	 0.000004 seconds
3 cycles	 0.000004 seconds
3 cycles	 0.000004 seconds
4 cycles	 0.000004 seconds
3 cycles	 0.000004 seconds
3 cycles	 0.000004 seconds
3 cycles	 0.000004 seconds
3 cycles	 0.000004 seconds
4 cycles	 0.000004 seconds
3 cycles	 0.000004 seconds
3 cycles	 0.000004 seconds
3 cycles	 0.000004 seconds
3 cycles	 0.000004 seconds
5 cycles	 0.000004 seconds
3 cycles	 0.000004 seconds
3 cycles	 0.000004 seconds
3 cycles	 0.000004 seconds
4 cycles	 0.000004 seconds
4 cycles	 0.000004 seconds
3 cycles	 0.000004 seconds
3 cycles	 0.000005 seconds
3 cycles	 0.000004 seconds
4 cycles	 0.000004 seconds
4 cycles	 0.000005 seconds
3 cycles	 0.000004 seconds
3 cycles	 0.000004 seconds
3 cycles	 0.000005 seconds
4 cycles	 0.000004 seconds
3 cycles	 0.000004 seconds
3 cycles	 0.000005 seconds
4 cycles	 0.000004 seconds
4 cycles	 0.000004 seconds
4 cycles	 0.000004 seconds
5 cycles	 0.000005 seconds
4 cycles	 0.000004 seconds
4 cycles	 0.000004 seconds
4 cycles	 0.000004 seconds
4 cycles	 0.000004 seconds
5 cycles	 0.000005 seconds
4 cycles	 0.000005 seconds
4 cycles	 0.000004 seconds
4 cycles	 0.000004 seconds
3 cycles	 0.000004 seconds
4 cycles	 0.000004 seconds
3 cycles	 0.000004 seconds
3 cycles	 0.000005 seconds
3 cycles	 0.000005 seconds
4 cycles	 0.000005 seconds
5 cycles	 0.000005 seconds
4 cycles	 0.000005 seconds
3 cycles	 0.000005 seconds
3 cycles	 0.000005 seconds
3 cycles	 0.000005 seconds
3 cycles	 0.000005 seconds
4 cycles	 0.000005 seconds
4 cycles	 0.000004 seconds
5 cycles	 0.000004 seconds
3 cycles	 0.000004 seconds
4 cycles	 0.000004 seconds
4 cycles	 0.000004 seconds
3 cycles	 0.000005 seconds
5 cycles	 0.000005 seconds
4 cycles	 0.000005 seconds
3 cycles	 0.000005 seconds
4 cycles	 0.000005 seconds
4 cycles	 0.000004 seconds
4 cycles	 0.000004 seconds
4 cycles	 0.000005 seconds
4 cycles	 0.000005 seconds
4 cycles	 0.000005 seconds
4 cycles	 0.000004 seconds
4 cycles	 0.000005 seconds
4 cycles	 0.000005 seconds
3 cycles	 0.000005 seconds
4 cycles	 0.000004 seconds
3 cycles	 0.000005 seconds
5 cycles	 0.000005 seconds
3 cycles	 0.000004 seconds
4 cycles	 0.000005 seconds
4 cycles	 0.000005 seconds
4 cycles	 0.000004 seconds
5 cycles	 0.000005 seconds
4 cycles	 0.000005 seconds
4 cycles	 0.000005 seconds
4 cycles	 0.000005 seconds
4 cycles	 0.000005 seconds
5 cycles	 0.000005 seconds
4 cycles	 0.000005 seconds
4 cycles	 0.000005 seconds
4 cycles	 0.000005 seconds
4 cycles	 0.000005 seconds
5 cycles	 0.000005 seconds
4 cycles	 0.000005 seconds
5 cycles	 0.000005 seconds
4 cycles	 0.000005 seconds
4 cycles	 0.000005 seconds
5 cycles	 0.000005 seconds
5 cycles	 0.000006 seconds
4 cycles	 0.000005 seconds
4 cycles	 0.000005 seconds
4 cycles	 0.000005 seconds
5 cycles	 0.000005 seconds
5 cycles	 0.000006 seconds
4 cycles	 0.000005 seconds
4 cycles	 0.000005 seconds
4 cycles	 0.000006 seconds
5 cycles	 0.000005 seconds
4 cycles	 0.000005 seconds
4 cycles	 0.000006 seconds
4 cycles	 0.000005 seconds
4 cycles	 0.000005 seconds
6 cycles	 0.000005 seconds
5 cycles	 0.000006 seconds
5 cycles	 0.000005 seconds
5 cycles	 0.000005 seconds
5 cycles	 0.000005 seconds
6 cycles	 0.000005 seconds
5 cycles	 0.000006 seconds
5 cycles	 0.000006 seconds
5 cycles	 0.000005 seconds
5 cycles	 0.000005 seconds
4 cycles	 0.000005 seconds
5 cycles	 0.000005 seconds
4 cycles	 0.000005 seconds
4 cycles	 0.000005 seconds
4 cycles	 0.000005 seconds
5 cycles	 0.000006 seconds
5 cycles	 0.000008 seconds
5 cycles	 0.000006 seconds
4 cycles	 0.000006 seconds
6 cycles	 0.000006 seconds
6 cycles	 0.000006 seconds
5 cycles	 0.000006 seconds
4 cycles	 0.000006 seconds
5 cycles	 0.000006 seconds
5 cycles	 0.000005 seconds
6 cycles	 0.000005 seconds
4 cycles	 0.000005 seconds
5 cycles	 0.000006 seconds
7 cycles	 0.000007 seconds
6 cycles	 0.000006 seconds
5 cycles	 0.000005 seconds
5 cycles	 0.000006 seconds
5 cycles	 0.000006 seconds
4 cycles	 0.000006 seconds
5 cycles	 0.000006 seconds
5 cycles	 0.000005 seconds
5 cycles	 0.000006 seconds
5 cycles	 0.000006 seconds
5 cycles	 0.000006 seconds
5 cycles	 0.000005 seconds
5 cycles	 0.000006 seconds
5 cycles	 0.000006 seconds
4 cycles	 0.000006 seconds
5 cycles	 0.000005 seconds
4 cycles	 0.000006 seconds
6 cycles	 0.000006 seconds
5 cycles	 0.000006 seconds
5 cycles	 0.000006 seconds
5 cycles	 0.000006 seconds
5 cycles	 0.000006 seconds
5 cycles	 0.000006 seconds
6 cycles	 0.000006 seconds
5 cycles	 0.000006 seconds
5 cycles	 0.000006 seconds
5 cycles	 0.000006 seconds
5 cycles	 0.000006 seconds
6 cycles	 0.000006 seconds
6 cycles	 0.000007 seconds
5 cycles	 0.000006 seconds
5 cycles	 0.000006 seconds
5 cycles	 0.000006 seconds
6 cycles	 0.000006 seconds
5 cycles	 0.000007 seconds
6 cycles	 0.000006 seconds
5 cycles	 0.000007 seconds
7 cycles	 0.000008 seconds
7 cycles	 0.000007 seconds
5 cycles	 0.000008 seconds
5 cycles	 0.000006 seconds
6 cycles	 0.000006 seconds
7 cycles	 0.000006 seconds
5 cycles	 0.000006 seconds
5 cycles	 0.000006 seconds
5 cycles	 0.000006 seconds
5 cycles	 0.000006 seconds
5 cycles	 0.000007 seconds
6 cycles	 0.000006 seconds
7 cycles	 0.000007 seconds
5 cycles	 0.000006 seconds
5 cycles	 0.000006 seconds
5 cycles	 0.000006 seconds
5 cycles	 0.000007 seconds
6 cycles	 0.000006 seconds
5 cycles	 0.000006 seconds
5 cycles	 0.000006 seconds
5 cycles	 0.000006 seconds
