24 cycles	 0.000024 seconds
29 cycles	 0.000030 seconds
28 cycles	 0.000030 seconds
29 cycles	 0.000030 seconds
29 cycles	 0.000030 seconds
29 cycles	 0.000030 seconds
29 cycles	 0.000030 seconds
30 cycles	 0.000030 seconds
31 cycles	 0.000031 seconds
29 cycles	 0.000031 seconds
29 cycles	 0.000030 seconds
31 cycles	 0.000031 seconds
29 cycles	 0.000030 seconds
29 cycles	 0.000030 seconds
30 cycles	 0.000030 seconds
30 cycles	 0.000030 seconds
29 cycles	 0.000030 seconds
29 cycles	 0.000030 seconds
29 cycles	 0.000030 seconds
30 cycles	 0.000032 seconds
29 cycles	 0.000030 seconds
29 cycles	 0.000030 seconds
29 cycles	 0.000030 seconds
30 cycles	 0.000031 seconds
29 cycles	 0.000030 seconds
31 cycles	 0.000031 seconds
29 cycles	 0.000030 seconds
30 cycles	 0.000030 seconds
30 cycles	 0.000031 seconds
30 cycles	 0.000030 seconds
30 cycles	 0.000030 seconds
31 cycles	 0.000030 seconds
31 cycles	 0.000031 seconds
29 cycles	 0.000030 seconds
29 cycles	 0.000031 seconds
29 cycles	 0.000031 seconds
31 cycles	 0.000032 seconds
30 cycles	 0.000031 seconds
30 cycles	 0.000031 seconds
31 cycles	 0.000032 seconds
29 cycles	 0.000031 seconds
30 cycles	 0.000031 seconds
30 cycles	 0.000031 seconds
30 cycles	 0.000031 seconds
30 cycles	 0.000031 seconds
29 cycles	 0.000031 seconds
30 cycles	 0.000031 seconds
30 cycles	 0.000031 seconds
30 cycles	 0.000031 seconds
29 cycles	 0.000031 seconds
30 cycles	 0.000031 seconds
29 cycles	 0.000031 seconds
31 cycles	 0.000032 seconds
30 cycles	 0.000031 seconds
30 cycles	 0.000031 seconds
29 cycles	 0.000030 seconds
30 cycles	 0.000031 seconds
31 cycles	 0.000032 seconds
30 cycles	 0.000031 seconds
30 cycles	 0.000031 seconds
30 cycles	 0.000030 seconds
30 cycles	 0.000030 seconds
29 cycles	 0.000031 seconds
30 cycles	 0.000031 seconds
29 cycles	 0.000031 seconds
30 cycles	 0.000031 seconds
30 cycles	 0.000031 seconds
31 cycles	 0.000031 seconds
30 cycles	 0.000031 seconds
30 cycles	 0.000031 seconds
29 cycles	 0.000031 seconds
30 cycles	 0.000031 seconds
29 cycles	 0.000031 seconds
30 cycles	 0.000031 seconds
31 cycles	 0.000031 seconds
31 cycles	 0.000031 seconds
30 cycles	 0.000031 seconds
29 cycles	 0.000031 seconds
30 cycles	 0.000031 seconds
30 cycles	 0.000031 seconds
30 cycles	 0.000031 seconds
30 cycles	 0.000031 seconds
31 cycles	 0.000031 seconds
31 cycles	 0.000030 seconds
30 cycles	 0.000032 seconds
33 cycles	 0.000033 seconds
31 cycles	 0.000031 seconds
30 cycles	 0.000032 seconds
30 cycles	 0.000031 seconds
30 cycles	 0.000031 seconds
30 cycles	 0.000031 seconds
31 cycles	 0.000031 seconds
30 cycles	 0.000032 seconds
30 cycles	 0.000031 seconds
30 cycles	 0.000031 seconds
30 cycles	 0.000031 seconds
31 cycles	 0.000031 seconds
30 cycles	 0.000031 seconds
31 cycles	 0.000031 seconds
31 cycles	 0.000032 seconds
30 cycles	 0.000031 seconds
31 cycles	 0.000031 seconds
30 cycles	 0.000032 seconds
30 cycles	 0.000031 seconds
31 cycles	 0.000031 seconds
30 cycles	 0.000031 seconds
31 cycles	 0.000031 seconds
30 cycles	 0.000032 seconds
30 cycles	 0.000032 seconds
30 cycles	 0.000031 seconds
30 cycles	 0.000031 seconds
30 cycles	 0.000031 seconds
30 cycles	 0.000031 seconds
31 cycles	 0.000031 seconds
31 cycles	 0.000031 seconds
31 cycles	 0.000031 seconds
31 cycles	 0.000032 seconds
31 cycles	 0.000032 seconds
31 cycles	 0.000032 seconds
31 cycles	 0.000032 seconds
30 cycles	 0.000032 seconds
31 cycles	 0.000032 seconds
30 cycles	 0.000032 seconds
30 cycles	 0.000032 seconds
32 cycles	 0.000033 seconds
30 cycles	 0.000031 seconds
31 cycles	 0.000031 seconds
31 cycles	 0.000031 seconds
32 cycles	 0.000032 seconds
31 cycles	 0.000032 seconds
30 cycles	 0.000032 seconds
31 cycles	 0.000032 seconds
31 cycles	 0.000032 seconds
30 cycles	 0.000032 seconds
30 cycles	 0.000031 seconds
32 cycles	 0.000031 seconds
32 cycles	 0.000032 seconds
30 cycles	 0.000032 seconds
31 cycles	 0.000032 seconds
31 cycles	 0.000032 seconds
30 cycles	 0.000031 seconds
31 cycles	 0.000032 seconds
30 cycles	 0.000032 seconds
31 cycles	 0.000032 seconds
32 cycles	 0.000032 seconds
32 cycles	 0.000032 seconds
31 cycles	 0.000032 seconds
31 cycles	 0.000032 seconds
31 cycles	 0.000032 seconds
31 cycles	 0.000032 seconds
31 cycles	 0.000032 seconds
31 cycles	 0.000032 seconds
32 cycles	 0.000032 seconds
31 cycles	 0.000032 seconds
31 cycles	 0.000032 seconds
31 cycles	 0.000032 seconds
31 cycles	 0.000032 seconds
31 cycles	 0.000032 seconds
31 cycles	 0.000032 seconds
32 cycles	 0.000032 seconds
31 cycles	 0.000032 seconds
31 cycles	 0.000032 seconds
31 cycles	 0.000032 seconds
31 cycles	 0.000032 seconds
31 cycles	 0.000032 seconds
31 cycles	 0.000032 seconds
32 cycles	 0.000032 seconds
31 cycles	 0.000032 seconds
31 cycles	 0.000032 seconds
31 cycles	 0.000032 seconds
31 cycles	 0.000032 seconds
31 cycles	 0.000032 seconds
31 cycles	 0.000032 seconds
32 cycles	 0.000033 seconds
32 cycles	 0.000032 seconds
31 cycles	 0.000032 seconds
31 cycles	 0.000033 seconds
31 cycles	 0.000032 seconds
31 cycles	 0.000032 seconds
31 cycles	 0.000033 seconds
33 cycles	 0.000032 seconds
32 cycles	 0.000032 seconds
31 cycles	 0.000033 seconds
31 cycles	 0.000032 seconds
31 cycles	 0.000032 seconds
31 cycles	 0.000032 seconds
31 cycles	 0.000033 seconds
32 cycles	 0.000033 seconds
32 cycles	 0.000032 seconds
32 cycles	 0.000032 seconds
32 cycles	 0.000032 seconds
32 cycles	 0.000033 seconds
32 cycles	 0.000033 seconds
32 cycles	 0.000033 seconds
33 cycles	 0.000032 seconds
33 cycles	 0.000032 seconds
31 cycles	 0.000032 seconds
31 cycles	 0.000032 seconds
31 cycles	 0.000032 seconds
31 cycles	 0.000032 seconds
31 cycles	 0.000032 seconds
32 cycles	 0.000032 seconds
33 cycles	 0.000032 seconds
32 cycles	 0.000032 seconds
32 cycles	 0.000032 seconds
31 cycles	 0.000032 seconds
31 cycles	 0.000032 seconds
31 cycles	 0.000032 seconds
32 cycles	 0.000032 seconds
33 cycles	 0.000032 seconds
32 cycles	 0.000033 seconds
31 cycles	 0.000033 seconds
32 cycles	 0.000033 seconds
32 cycles	 0.000033 seconds
31 cycles	 0.000033 seconds
32 cycles	 0.000032 seconds
33 cycles	 0.000033 seconds
33 cycles	 0.000033 seconds
31 cycles	 0.000033 seconds
32 cycles	 0.000033 seconds
32 cycles	 0.000033 seconds
32 cycles	 0.000032 seconds
32 cycles	 0.000033 seconds
32 cycles	 0.000033 seconds
33 cycles	 0.000032 seconds
32 cycles	 0.000033 seconds
32 cycles	 0.000033 seconds
32 cycles	 0.000033 seconds
32 cycles	 0.000033 seconds
32 cycles	 0.000033 seconds
31 cycles	 0.000033 seconds
33 cycles	 0.000033 seconds
33 cycles	 0.000033 seconds
32 cycles	 0.000033 seconds
32 cycles	 0.000033 seconds
34 cycles	 0.000034 seconds
32 cycles	 0.000033 seconds
32 cycles	 0.000033 seconds
33 cycles	 0.000033 seconds
33 cycles	 0.000033 seconds
32 cycles	 0.000033 seconds
32 cycles	 0.000033 seconds
33 cycles	 0.000034 seconds
33 cycles	 0.000035 seconds
33 cycles	 0.000034 seconds
33 cycles	 0.000034 seconds
38 cycles	 0.000037 seconds
35 cycles	 0.000035 seconds
32 cycles	 0.000033 seconds
32 cycles	 0.000034 seconds
34 cycles	 0.000033 seconds
33 cycles	 0.000033 seconds
33 cycles	 0.000034 seconds
34 cycles	 0.000034 seconds
33 cycles	 0.000033 seconds
33 cycles	 0.000034 seconds
33 cycles	 0.000033 seconds
32 cycles	 0.000034 seconds
32 cycles	 0.000033 seconds
32 cycles	 0.000033 seconds
33 cycles	 0.000034 seconds
33 cycles	 0.000033 seconds
33 cycles	 0.000034 seconds
32 cycles	 0.000033 seconds
32 cycles	 0.000033 seconds
33 cycles	 0.000034 seconds
34 cycles	 0.000035 seconds
37 cycles	 0.000038 seconds
40 cycles	 0.000041 seconds
32 cycles	 0.000033 seconds
32 cycles	 0.000033 seconds
32 cycles	 0.000033 seconds
33 cycles	 0.000034 seconds
33 cycles	 0.000034 seconds
33 cycles	 0.000034 seconds
34 cycles	 0.000035 seconds
32 cycles	 0.000034 seconds
32 cycles	 0.000034 seconds
32 cycles	 0.000034 seconds
33 cycles	 0.000034 seconds
33 cycles	 0.000034 seconds
34 cycles	 0.000036 seconds
33 cycles	 0.000034 seconds
33 cycles	 0.000034 seconds
33 cycles	 0.000034 seconds
33 cycles	 0.000033 seconds
32 cycles	 0.000033 seconds
32 cycles	 0.000033 seconds
33 cycles	 0.000033 seconds
33 cycles	 0.000034 seconds
34 cycles	 0.000034 seconds
33 cycles	 0.000034 seconds
34 cycles	 0.000035 seconds
32 cycles	 0.000033 seconds
34 cycles	 0.000033 seconds
34 cycles	 0.000034 seconds
32 cycles	 0.000034 seconds
33 cycles	 0.000034 seconds
33 cycles	 0.000034 seconds
32 cycles	 0.000033 seconds
33 cycles	 0.000034 seconds
33 cycles	 0.000034 seconds
34 cycles	 0.000033 seconds
33 cycles	 0.000034 seconds
33 cycles	 0.000034 seconds
33 cycles	 0.000034 seconds
32 cycles	 0.000033 seconds
33 cycles	 0.000034 seconds
32 cycles	 0.000034 seconds
34 cycles	 0.000034 seconds
33 cycles	 0.000034 seconds
33 cycles	 0.000034 seconds
33 cycles	 0.000034 seconds
33 cycles	 0.000034 seconds
34 cycles	 0.000035 seconds
34 cycles	 0.000034 seconds
34 cycles	 0.000034 seconds
33 cycles	 0.000035 seconds
33 cycles	 0.000034 seconds
33 cycles	 0.000034 seconds
33 cycles	 0.000035 seconds
33 cycles	 0.000034 seconds
33 cycles	 0.000034 seconds
34 cycles	 0.000034 seconds
33 cycles	 0.000034 seconds
34 cycles	 0.000034 seconds
33 cycles	 0.000034 seconds
34 cycles	 0.000034 seconds
33 cycles	 0.000034 seconds
35 cycles	 0.000035 seconds
40 cycles	 0.000046 seconds
35 cycles	 0.000035 seconds
34 cycles	 0.000034 seconds
33 cycles	 0.000034 seconds
33 cycles	 0.000035 seconds
33 cycles	 0.000034 seconds
33 cycles	 0.000034 seconds
34 cycles	 0.000034 seconds
33 cycles	 0.000034 seconds
33 cycles	 0.000035 seconds
33 cycles	 0.000034 seconds
33 cycles	 0.000034 seconds
35 cycles	 0.000035 seconds
34 cycles	 0.000034 seconds
34 cycles	 0.000034 seconds
33 cycles	 0.000035 seconds
33 cycles	 0.000034 seconds
34 cycles	 0.000034 seconds
33 cycles	 0.000034 seconds
33 cycles	 0.000035 seconds
33 cycles	 0.000034 seconds
33 cycles	 0.000034 seconds
34 cycles	 0.000034 seconds
33 cycles	 0.000035 seconds
33 cycles	 0.000035 seconds
33 cycles	 0.000034 seconds
33 cycles	 0.000034 seconds
34 cycles	 0.000034 seconds
33 cycles	 0.000034 seconds
33 cycles	 0.000035 seconds
34 cycles	 0.000035 seconds
34 cycles	 0.000036 seconds
33 cycles	 0.000035 seconds
34 cycles	 0.000035 seconds
35 cycles	 0.000035 seconds
33 cycles	 0.000035 seconds
33 cycles	 0.000035 seconds
34 cycles	 0.000035 seconds
34 cycles	 0.000035 seconds
35 cycles	 0.000035 seconds
34 cycles	 0.000035 seconds
34 cycles	 0.000034 seconds
34 cycles	 0.000034 seconds
34 cycles	 0.000034 seconds
34 cycles	 0.000034 seconds
35 cycles	 0.000034 seconds
34 cycles	 0.000035 seconds
33 cycles	 0.000035 seconds
34 cycles	 0.000035 seconds
34 cycles	 0.000035 seconds
34 cycles	 0.000035 seconds
34 cycles	 0.000034 seconds
34 cycles	 0.000034 seconds
33 cycles	 0.000035 seconds
34 cycles	 0.000035 seconds
35 cycles	 0.000035 seconds
34 cycles	 0.000035 seconds
34 cycles	 0.000034 seconds
33 cycles	 0.000035 seconds
34 cycles	 0.000035 seconds
35 cycles	 0.000035 seconds
34 cycles	 0.000034 seconds
34 cycles	 0.000035 seconds
34 cycles	 0.000035 seconds
34 cycles	 0.000035 seconds
35 cycles	 0.000035 seconds
34 cycles	 0.000035 seconds
34 cycles	 0.000035 seconds
34 cycles	 0.000035 seconds
34 cycles	 0.000035 seconds
35 cycles	 0.000035 seconds
34 cycles	 0.000035 seconds
34 cycles	 0.000036 seconds
34 cycles	 0.000035 seconds
34 cycles	 0.000035 seconds
35 cycles	 0.000035 seconds
35 cycles	 0.000035 seconds
34 cycles	 0.000036 seconds
35 cycles	 0.000035 seconds
34 cycles	 0.000036 seconds
35 cycles	 0.000036 seconds
35 cycles	 0.000036 seconds
34 cycles	 0.000035 seconds
34 cycles	 0.000035 seconds
35 cycles	 0.000036 seconds
34 cycles	 0.000035 seconds
35 cycles	 0.000035 seconds
34 cycles	 0.000035 seconds
34 cycles	 0.000035 seconds
34 cycles	 0.000035 seconds
34 cycles	 0.000035 seconds
34 cycles	 0.000035 seconds
34 cycles	 0.000035 seconds
35 cycles	 0.000035 seconds
35 cycles	 0.000035 seconds
36 cycles	 0.000035 seconds
35 cycles	 0.000035 seconds
34 cycles	 0.000035 seconds
34 cycles	 0.000036 seconds
34 cycles	 0.000035 seconds
35 cycles	 0.000035 seconds
34 cycles	 0.000035 seconds
34 cycles	 0.000035 seconds
34 cycles	 0.000036 seconds
35 cycles	 0.000036 seconds
36 cycles	 0.000035 seconds
35 cycles	 0.000035 seconds
35 cycles	 0.000035 seconds
35 cycles	 0.000035 seconds
35 cycles	 0.000035 seconds
36 cycles	 0.000036 seconds
34 cycles	 0.000036 seconds
35 cycles	 0.000036 seconds
35 cycles	 0.000035 seconds
35 cycles	 0.000036 seconds
37 cycles	 0.000039 seconds
36 cycles	 0.000037 seconds
35 cycles	 0.000036 seconds
37 cycles	 0.000039 seconds
35 cycles	 0.000036 seconds
35 cycles	 0.000035 seconds
35 cycles	 0.000036 seconds
35 cycles	 0.000036 seconds
36 cycles	 0.000036 seconds
36 cycles	 0.000036 seconds
35 cycles	 0.000036 seconds
35 cycles	 0.000036 seconds
35 cycles	 0.000036 seconds
35 cycles	 0.000036 seconds
36 cycles	 0.000036 seconds
35 cycles	 0.000035 seconds
35 cycles	 0.000035 seconds
34 cycles	 0.000036 seconds
35 cycles	 0.000036 seconds
36 cycles	 0.000036 seconds
35 cycles	 0.000036 seconds
35 cycles	 0.000035 seconds
34 cycles	 0.000036 seconds
35 cycles	 0.000036 seconds
35 cycles	 0.000036 seconds
36 cycles	 0.000036 seconds
34 cycles	 0.000036 seconds
35 cycles	 0.000036 seconds
35 cycles	 0.000035 seconds
35 cycles	 0.000036 seconds
35 cycles	 0.000036 seconds
35 cycles	 0.000036 seconds
35 cycles	 0.000036 seconds
35 cycles	 0.000036 seconds
35 cycles	 0.000036 seconds
36 cycles	 0.000036 seconds
35 cycles	 0.000035 seconds
35 cycles	 0.000036 seconds
35 cycles	 0.000036 seconds
35 cycles	 0.000036 seconds
36 cycles	 0.000036 seconds
35 cycles	 0.000036 seconds
35 cycles	 0.000036 seconds
35 cycles	 0.000036 seconds
36 cycles	 0.000036 seconds
35 cycles	 0.000036 seconds
35 cycles	 0.000036 seconds
35 cycles	 0.000036 seconds
35 cycles	 0.000036 seconds
36 cycles	 0.000036 seconds
35 cycles	 0.000036 seconds
35 cycles	 0.000036 seconds
36 cycles	 0.000036 seconds
35 cycles	 0.000037 seconds
36 cycles	 0.000036 seconds
35 cycles	 0.000036 seconds
35 cycles	 0.000036 seconds
35 cycles	 0.000036 seconds
35 cycles	 0.000036 seconds
37 cycles	 0.000037 seconds
36 cycles	 0.000036 seconds
36 cycles	 0.000036 seconds
35 cycles	 0.000037 seconds
35 cycles	 0.000036 seconds
36 cycles	 0.000036 seconds
35 cycles	 0.000036 seconds
35 cycles	 0.000036 seconds
35 cycles	 0.000037 seconds
35 cycles	 0.000036 seconds
36 cycles	 0.000036 seconds
35 cycles	 0.000036 seconds
36 cycles	 0.000036 seconds
36 cycles	 0.000037 seconds
36 cycles	 0.000037 seconds
37 cycles	 0.000037 seconds
36 cycles	 0.000037 seconds
35 cycles	 0.000036 seconds
35 cycles	 0.000036 seconds
35 cycles	 0.000036 seconds
36 cycles	 0.000036 seconds
36 cycles	 0.000036 seconds
36 cycles	 0.000036 seconds
36 cycles	 0.000036 seconds
35 cycles	 0.000036 seconds
36 cycles	 0.000036 seconds
36 cycles	 0.000036 seconds
36 cycles	 0.000036 seconds
35 cycles	 0.000036 seconds
35 cycles	 0.000036 seconds
37 cycles	 0.000037 seconds
36 cycles	 0.000037 seconds
35 cycles	 0.000037 seconds
36 cycles	 0.000037 seconds
36 cycles	 0.000037 seconds
37 cycles	 0.000037 seconds
35 cycles	 0.000037 seconds
36 cycles	 0.000036 seconds
36 cycles	 0.000036 seconds
36 cycles	 0.000037 seconds
37 cycles	 0.000037 seconds
35 cycles	 0.000037 seconds
36 cycles	 0.000036 seconds
35 cycles	 0.000037 seconds
36 cycles	 0.000037 seconds
37 cycles	 0.000037 seconds
36 cycles	 0.000036 seconds
36 cycles	 0.000037 seconds
36 cycles	 0.000037 seconds
36 cycles	 0.000037 seconds
37 cycles	 0.000037 seconds
35 cycles	 0.000037 seconds
36 cycles	 0.000037 seconds
36 cycles	 0.000037 seconds
36 cycles	 0.000037 seconds
37 cycles	 0.000037 seconds
36 cycles	 0.000037 seconds
36 cycles	 0.000037 seconds
36 cycles	 0.000037 seconds
36 cycles	 0.000037 seconds
37 cycles	 0.000037 seconds
36 cycles	 0.000037 seconds
36 cycles	 0.000037 seconds
36 cycles	 0.000037 seconds
36 cycles	 0.000037 seconds
37 cycles	 0.000037 seconds
36 cycles	 0.000037 seconds
36 cycles	 0.000037 seconds
36 cycles	 0.000037 seconds
37 cycles	 0.000037 seconds
37 cycles	 0.000037 seconds
36 cycles	 0.000037 seconds
36 cycles	 0.000037 seconds
36 cycles	 0.000037 seconds
37 cycles	 0.000038 seconds
37 cycles	 0.000037 seconds
36 cycles	 0.000037 seconds
36 cycles	 0.000038 seconds
36 cycles	 0.000037 seconds
36 cycles	 0.000037 seconds
37 cycles	 0.000038 seconds
36 cycles	 0.000037 seconds
37 cycles	 0.000037 seconds
37 cycles	 0.000037 seconds
37 cycles	 0.000038 seconds
38 cycles	 0.000037 seconds
37 cycles	 0.000037 seconds
37 cycles	 0.000037 seconds
37 cycles	 0.000037 seconds
37 cycles	 0.000038 seconds
38 cycles	 0.000038 seconds
37 cycles	 0.000037 seconds
37 cycles	 0.000037 seconds
36 cycles	 0.000037 seconds
36 cycles	 0.000037 seconds
37 cycles	 0.000037 seconds
36 cycles	 0.000037 seconds
36 cycles	 0.000038 seconds
37 cycles	 0.000038 seconds
37 cycles	 0.000038 seconds
39 cycles	 0.000039 seconds
38 cycles	 0.000038 seconds
36 cycles	 0.000037 seconds
38 cycles	 0.000037 seconds
37 cycles	 0.000037 seconds
37 cycles	 0.000038 seconds
36 cycles	 0.000038 seconds
37 cycles	 0.000038 seconds
37 cycles	 0.000038 seconds
38 cycles	 0.000038 seconds
36 cycles	 0.000038 seconds
37 cycles	 0.000038 seconds
37 cycles	 0.000037 seconds
37 cycles	 0.000038 seconds
38 cycles	 0.000038 seconds
36 cycles	 0.000038 seconds
37 cycles	 0.000037 seconds
37 cycles	 0.000037 seconds
37 cycles	 0.000038 seconds
37 cycles	 0.000038 seconds
38 cycles	 0.000038 seconds
37 cycles	 0.000038 seconds
37 cycles	 0.000038 seconds
37 cycles	 0.000038 seconds
37 cycles	 0.000038 seconds
38 cycles	 0.000038 seconds
37 cycles	 0.000038 seconds
37 cycles	 0.000037 seconds
37 cycles	 0.000038 seconds
37 cycles	 0.000038 seconds
38 cycles	 0.000038 seconds
37 cycles	 0.000038 seconds
37 cycles	 0.000038 seconds
37 cycles	 0.000038 seconds
37 cycles	 0.000038 seconds
37 cycles	 0.000038 seconds
38 cycles	 0.000038 seconds
37 cycles	 0.000038 seconds
37 cycles	 0.000038 seconds
37 cycles	 0.000037 seconds
37 cycles	 0.000038 seconds
38 cycles	 0.000039 seconds
37 cycles	 0.000038 seconds
37 cycles	 0.000039 seconds
37 cycles	 0.000038 seconds
38 cycles	 0.000038 seconds
37 cycles	 0.000038 seconds
38 cycles	 0.000038 seconds
37 cycles	 0.000038 seconds
38 cycles	 0.000038 seconds
37 cycles	 0.000039 seconds
37 cycles	 0.000038 seconds
38 cycles	 0.000038 seconds
37 cycles	 0.000038 seconds
37 cycles	 0.000038 seconds
38 cycles	 0.000038 seconds
38 cycles	 0.000039 seconds
38 cycles	 0.000038 seconds
37 cycles	 0.000038 seconds
37 cycles	 0.000038 seconds
38 cycles	 0.000039 seconds
38 cycles	 0.000039 seconds
38 cycles	 0.000039 seconds
38 cycles	 0.000038 seconds
37 cycles	 0.000038 seconds
38 cycles	 0.000038 seconds
37 cycles	 0.000039 seconds
37 cycles	 0.000039 seconds
37 cycles	 0.000038 seconds
37 cycles	 0.000038 seconds
37 cycles	 0.000038 seconds
38 cycles	 0.000038 seconds
37 cycles	 0.000038 seconds
38 cycles	 0.000039 seconds
38 cycles	 0.000039 seconds
38 cycles	 0.000038 seconds
38 cycles	 0.000039 seconds
38 cycles	 0.000038 seconds
38 cycles	 0.000039 seconds
37 cycles	 0.000039 seconds
38 cycles	 0.000039 seconds
38 cycles	 0.000039 seconds
38 cycles	 0.000039 seconds
37 cycles	 0.000038 seconds
38 cycles	 0.000039 seconds
39 cycles	 0.000039 seconds
38 cycles	 0.000039 seconds
37 cycles	 0.000039 seconds
38 cycles	 0.000039 seconds
38 cycles	 0.000038 seconds
38 cycles	 0.000039 seconds
38 cycles	 0.000039 seconds
38 cycles	 0.000038 seconds
38 cycles	 0.000038 seconds
38 cycles	 0.000040 seconds
38 cycles	 0.000039 seconds
39 cycles	 0.000039 seconds
37 cycles	 0.000039 seconds
38 cycles	 0.000038 seconds
38 cycles	 0.000039 seconds
38 cycles	 0.000039 seconds
39 cycles	 0.000039 seconds
39 cycles	 0.000039 seconds
38 cycles	 0.000038 seconds
37 cycles	 0.000039 seconds
38 cycles	 0.000039 seconds
37 cycles	 0.000038 seconds
39 cycles	 0.000039 seconds
38 cycles	 0.000039 seconds
38 cycles	 0.000039 seconds
38 cycles	 0.000039 seconds
38 cycles	 0.000039 seconds
39 cycles	 0.000039 seconds
38 cycles	 0.000039 seconds
38 cycles	 0.000039 seconds
38 cycles	 0.000039 seconds
38 cycles	 0.000039 seconds
39 cycles	 0.000039 seconds
38 cycles	 0.000039 seconds
38 cycles	 0.000039 seconds
38 cycles	 0.000039 seconds
38 cycles	 0.000039 seconds
39 cycles	 0.000039 seconds
39 cycles	 0.000039 seconds
38 cycles	 0.000039 seconds
38 cycles	 0.000039 seconds
38 cycles	 0.000039 seconds
38 cycles	 0.000039 seconds
39 cycles	 0.000039 seconds
39 cycles	 0.000039 seconds
39 cycles	 0.000049 seconds
38 cycles	 0.000040 seconds
38 cycles	 0.000039 seconds
39 cycles	 0.000039 seconds
39 cycles	 0.000039 seconds
39 cycles	 0.000041 seconds
38 cycles	 0.000039 seconds
38 cycles	 0.000040 seconds
38 cycles	 0.000040 seconds
39 cycles	 0.000040 seconds
40 cycles	 0.000041 seconds
38 cycles	 0.000039 seconds
40 cycles	 0.000040 seconds
39 cycles	 0.000039 seconds
39 cycles	 0.000039 seconds
38 cycles	 0.000039 seconds
38 cycles	 0.000039 seconds
38 cycles	 0.000040 seconds
39 cycles	 0.000040 seconds
38 cycles	 0.000040 seconds
38 cycles	 0.000039 seconds
38 cycles	 0.000039 seconds
38 cycles	 0.000039 seconds
38 cycles	 0.000039 seconds
40 cycles	 0.000039 seconds
40 cycles	 0.000039 seconds
39 cycles	 0.000039 seconds
39 cycles	 0.000039 seconds
38 cycles	 0.000039 seconds
38 cycles	 0.000039 seconds
40 cycles	 0.000039 seconds
40 cycles	 0.000040 seconds
39 cycles	 0.000039 seconds
38 cycles	 0.000040 seconds
38 cycles	 0.000040 seconds
39 cycles	 0.000040 seconds
40 cycles	 0.000040 seconds
38 cycles	 0.000040 seconds
38 cycles	 0.000040 seconds
39 cycles	 0.000040 seconds
39 cycles	 0.000040 seconds
39 cycles	 0.000040 seconds
39 cycles	 0.000039 seconds
39 cycles	 0.000039 seconds
38 cycles	 0.000040 seconds
39 cycles	 0.000040 seconds
40 cycles	 0.000040 seconds
38 cycles	 0.000040 seconds
39 cycles	 0.000039 seconds
38 cycles	 0.000040 seconds
39 cycles	 0.000040 seconds
40 cycles	 0.000040 seconds
39 cycles	 0.000039 seconds
39 cycles	 0.000040 seconds
39 cycles	 0.000040 seconds
39 cycles	 0.000040 seconds
40 cycles	 0.000039 seconds
40 cycles	 0.000040 seconds
39 cycles	 0.000040 seconds
39 cycles	 0.000039 seconds
39 cycles	 0.000040 seconds
39 cycles	 0.000040 seconds
38 cycles	 0.000040 seconds
39 cycles	 0.000040 seconds
40 cycles	 0.000040 seconds
39 cycles	 0.000040 seconds
39 cycles	 0.000040 seconds
38 cycles	 0.000040 seconds
39 cycles	 0.000040 seconds
40 cycles	 0.000040 seconds
39 cycles	 0.000040 seconds
39 cycles	 0.000040 seconds
39 cycles	 0.000040 seconds
39 cycles	 0.000040 seconds
40 cycles	 0.000040 seconds
39 cycles	 0.000040 seconds
39 cycles	 0.000040 seconds
40 cycles	 0.000040 seconds
39 cycles	 0.000041 seconds
39 cycles	 0.000040 seconds
40 cycles	 0.000040 seconds
39 cycles	 0.000040 seconds
40 cycles	 0.000040 seconds
39 cycles	 0.000040 seconds
39 cycles	 0.000040 seconds
40 cycles	 0.000040 seconds
39 cycles	 0.000040 seconds
39 cycles	 0.000041 seconds
39 cycles	 0.000040 seconds
39 cycles	 0.000040 seconds
40 cycles	 0.000040 seconds
41 cycles	 0.000041 seconds
40 cycles	 0.000040 seconds
40 cycles	 0.000040 seconds
40 cycles	 0.000040 seconds
40 cycles	 0.000041 seconds
41 cycles	 0.000041 seconds
40 cycles	 0.000040 seconds
39 cycles	 0.000041 seconds
39 cycles	 0.000041 seconds
39 cycles	 0.000040 seconds
39 cycles	 0.000040 seconds
40 cycles	 0.000040 seconds
39 cycles	 0.000040 seconds
40 cycles	 0.000040 seconds
40 cycles	 0.000040 seconds
40 cycles	 0.000041 seconds
40 cycles	 0.000041 seconds
40 cycles	 0.000041 seconds
39 cycles	 0.000041 seconds
39 cycles	 0.000041 seconds
40 cycles	 0.000041 seconds
40 cycles	 0.000041 seconds
41 cycles	 0.000041 seconds
39 cycles	 0.000041 seconds
39 cycles	 0.000041 seconds
40 cycles	 0.000041 seconds
40 cycles	 0.000041 seconds
40 cycles	 0.000041 seconds
39 cycles	 0.000040 seconds
40 cycles	 0.000040 seconds
40 cycles	 0.000040 seconds
41 cycles	 0.000042 seconds
41 cycles	 0.000042 seconds
40 cycles	 0.000040 seconds
40 cycles	 0.000040 seconds
41 cycles	 0.000041 seconds
40 cycles	 0.000041 seconds
40 cycles	 0.000041 seconds
40 cycles	 0.000041 seconds
40 cycles	 0.000040 seconds
42 cycles	 0.000041 seconds
41 cycles	 0.000041 seconds
40 cycles	 0.000041 seconds
40 cycles	 0.000041 seconds
40 cycles	 0.000041 seconds
41 cycles	 0.000042 seconds
40 cycles	 0.000041 seconds
41 cycles	 0.000042 seconds
40 cycles	 0.000041 seconds
41 cycles	 0.000041 seconds
